,Kod stanowiska,Data,Wartość,id_stacji,data_dodania
138,DsKlodzSzkol-NO-1g,2026-05-29 19:00:00,0.7,220,2026-05-30 13:19:16.786151
139,DsKlodzSzkol-NO-1g,2026-05-29 18:00:00,0.8,220,2026-05-30 13:19:16.786151
140,DsKlodzSzkol-NO2-1g,2026-05-30 13:00:00,3.1,221,2026-05-30 13:19:16.823364
141,DsKlodzSzkol-NO2-1g,2026-05-30 12:00:00,4.5,221,2026-05-30 13:19:16.823364
142,DsKlodzSzkol-NO2-1g,2026-05-30 11:00:00,5.3,221,2026-05-30 13:19:16.823364
143,DsKlodzSzkol-NO2-1g,2026-05-30 10:00:00,11.0,221,2026-05-30 13:19:16.823364
144,DsKlodzSzkol-NO2-1g,2026-05-30 09:00:00,9.4,221,2026-05-30 13:19:16.823364
145,DsKlodzSzkol-NO2-1g,2026-05-30 08:00:00,12.9,221,2026-05-30 13:19:16.823364
146,DsKlodzSzkol-NO2-1g,2026-05-30 07:00:00,10.3,221,2026-05-30 13:19:16.823364
147,DsKlodzSzkol-NO2-1g,2026-05-30 06:00:00,6.0,221,2026-05-30 13:19:16.823364
148,DsKlodzSzkol-NO2-1g,2026-05-30 05:00:00,8.5,221,2026-05-30 13:19:16.823364
149,DsKlodzSzkol-NO2-1g,2026-05-30 04:00:00,7.3,221,2026-05-30 13:19:16.823364
150,DsKlodzSzkol-NO2-1g,2026-05-30 03:00:00,9.1,221,2026-05-30 13:19:16.823364
151,DsKlodzSzkol-NO2-1g,2026-05-30 02:00:00,10.2,221,2026-05-30 13:19:16.823364
152,DsKlodzSzkol-NO2-1g,2026-05-30 01:00:00,11.3,221,2026-05-30 13:19:16.823364
153,DsKlodzSzkol-NO2-1g,2026-05-30 00:00:00,13.4,221,2026-05-30 13:19:16.823364
154,DsKlodzSzkol-NO2-1g,2026-05-29 23:00:00,20.7,221,2026-05-30 13:19:16.823364
155,DsKlodzSzkol-NO2-1g,2026-05-29 22:00:00,25.7,221,2026-05-30 13:19:16.823364
156,DsKlodzSzkol-NO2-1g,2026-05-29 21:00:00,20.1,221,2026-05-30 13:19:16.823364
157,DsKlodzSzkol-NO2-1g,2026-05-29 20:00:00,7.9,221,2026-05-30 13:19:16.823364
158,DsKlodzSzkol-NO2-1g,2026-05-29 19:00:00,3.9,221,2026-05-30 13:19:16.823364
