Kod stanowiska,Data,Wartość,id_stanowisk
DsLegAlRzecz-SO2-1g,2026-08-31 14:00:00,8.6,297
DsLegAlRzecz-SO2-1g,2026-08-31 13:00:00,8.6,297
DsLegAlRzecz-SO2-1g,2026-08-31 12:00:00,9.4,297
DsLegAlRzecz-SO2-1g,2026-08-31 11:00:00,9.0,297
DsLegAlRzecz-SO2-1g,2026-08-31 10:00:00,8.6,297
DsLegAlRzecz-SO2-1g,2026-08-31 09:00:00,8.5,297
DsLegAlRzecz-SO2-1g,2026-08-31 08:00:00,9.2,297
DsLegAlRzecz-SO2-1g,2026-08-31 07:00:00,9.2,297
DsLegAlRzecz-SO2-1g,2026-08-31 06:00:00,8.6,297
DsLegAlRzecz-SO2-1g,2026-08-31 05:00:00,7.7,297
DsLegAlRzecz-PM10-1g,2026-09-01 00:00:00,9.2,14397
DsLegAlRzecz-PM10-1g,2026-08-31 23:00:00,10.3,14397
DsLegAlRzecz-PM10-1g,2026-08-31 22:00:00,20.5,14397
DsLegAlRzecz-PM10-1g,2026-08-31 21:00:00,18.4,14397
DsLegAlRzecz-PM10-1g,2026-08-31 20:00:00,11.6,14397
DsLegAlRzecz-PM10-1g,2026-08-31 19:00:00,9.6,14397
DsLegAlRzecz-PM10-1g,2026-08-31 18:00:00,8.5,14397
DsLegAlRzecz-PM10-1g,2026-08-31 17:00:00,8.1,14397
DsLegAlRzecz-PM10-1g,2026-08-31 16:00:00,7.5,14397
DsLegAlRzecz-PM10-1g,2026-08-31 15:00:00,7.1,14397
DsLegAlRzecz-PM10-1g,2026-08-31 14:00:00,8.5,14397
DsLegAlRzecz-PM10-1g,2026-08-31 13:00:00,10.3,14397
DsLegAlRzecz-PM10-1g,2026-08-31 12:00:00,20.2,14397
DsLegAlRzecz-PM10-1g,2026-08-31 11:00:00,19.1,14397
DsLegAlRzecz-PM10-1g,2026-08-31 10:00:00,18.9,14397
DsLegAlRzecz-PM10-1g,2026-08-31 09:00:00,16.8,14397
DsLegAlRzecz-PM10-1g,2026-08-31 08:00:00,14.6,14397
DsLegAlRzecz-PM10-1g,2026-08-31 07:00:00,12.8,14397
DsLegAlRzecz-PM10-1g,2026-08-31 06:00:00,11.9,14397
DsLegAlRzecz-PM10-1g,2026-08-31 05:00:00,14.0,14397
DsLegAlRzecz-PM2.5-1g,2026-09-01 00:00:00,6.2,32560
DsLegAlRzecz-PM2.5-1g,2026-08-31 23:00:00,7.3,32560
